user_id,name,email,phone,aadhaar,age,gender,category,state,occupation,annual_income,disability,is_minority
U00046,Priya Iyer,user46@example.com,9254048813,4602-7531-7375,20,Female,ST,Kerala,Student,542416,No,Yes
U00047,Priya Kumar,user47@example.com,9752275178,4380-1849-6678,26,Male,General,Maharashtra,Government Employee,460939,No,No
U00048,Anita Iyer,user48@example.com,9917295340,1879-8347-1474,53,Female,ST,Karnataka,Student,477776,No,No
U00049,Rahul Nair,user49@example.com,9931028994,6905-9903-8493,77,Male,SC,Andhra Pradesh,Government Employee,499300,Yes,Yes
U00050,Anita Nair,user50@example.com,9255800809,4372-4305-1332,51,Male,ST,Tamil Nadu,Private Employee,540362,No,Yes
U00051,Arun Iyer,user51@example.com,9842248057,3771-7773-8855,61,Female,OBC,Andhra Pradesh,Private Employee,76402,Yes,No
U00052,Deepa Iyer,user52@example.com,9796336800,8860-7330-9974,51,Female,SC,Tamil Nadu,Senior Citizen,483913,No,No
U00053,Karthik Sharma,user53@example.com,9897924236,2725-7467-1659,61,Female,OBC,Maharashtra,Farmer,118352,No,Yes
U00054,Priya Rao,user54@example.com,9313761333,8599-4504-7184,54,Male,ST,Kerala,Government Employee,96662,No,Yes
U00055,Rahul Iyer,user55@example.com,9806726090,9522-4477-4102,79,Female,General,Andhra Pradesh,Senior Citizen,336646,No,No
U00056,Vijay Patel,user56@example.com,9128940016,3614-5100-5238,53,Male,General,Karnataka,Senior Citizen,439850,No,No
U00057,Ravi Nair,user57@example.com,9337361267,6169-3633-6262,23,Female,ST,Andhra Pradesh,Unemployed,438570,No,No
U00058,Anita Singh,user58@example.com,9337240466,4967-4316-5022,53,Female,SC,Karnataka,Farmer,489114,No,Yes
U00059,Deepa Sharma,user59@example.com,9943368794,9919-2966-7158,64,Male,OBC,Kerala,Senior Citizen,513602,No,No
U00060,Priya Singh,user60@example.com,9174639289,4110-5662-8860,42,Male,General,Andhra Pradesh,Government Employee,196470,Yes,No
U00061,Rahul Rao,user61@example.com,9158338475,1344-1053-8910,29,Male,OBC,Tamil Nadu,Farmer,535396,No,No
U00062,Rahul Kumar,user62@example.com,9310472534,1578-3016-8860,32,Female,ST,Tamil Nadu,Government Employee,552127,Yes,Yes
U00063,Rahul Nair,user63@example.com,9564088348,1123-8753-5400,57,Female,ST,Andhra Pradesh,Private Employee,51551,Yes,Yes
U00064,Rahul Rao,user64@example.com,9263892197,7811-1921-3758,35,Male,ST,Karnataka,Farmer,573650,No,No
U00065,Rahul Rao,user65@example.com,9860595361,7343-5072-4568,43,Male,OBC,Tamil Nadu,Government Employee,326161,No,No
U00066,Anita Nair,user66@example.com,9176726352,6022-3440-1140,78,Male,SC,Karnataka,Senior Citizen,101299,No,Yes
U00067,Deepa Nair,user67@example.com,9167422780,5234-2985-4472,53,Female,General,Kerala,Senior Citizen,423650,No,Yes
U00068,Suresh Kumar,user68@example.com,9636538488,8076-5581-2114,68,Male,SC,Tamil Nadu,Government Employee,185291,No,Yes
U00069,Ravi Kumar,user69@example.com,9486836953,3278-5173-8019,20,Male,OBC,Maharashtra,Unemployed,360957,No,No
U00070,Arun Kumar,user70@example.com,9233215208,6150-5003-6024,24,Male,SC,Kerala,Unemployed,530003,No,Yes
U00071,Lakshmi Das,user71@example.com,9832080503,6623-9179-5829,27,Female,ST,Maharashtra,Senior Citizen,552849,Yes,No
U00072,Karthik Singh,user72@example.com,9505893289,1749-6514-7855,49,Male,SC,Karnataka,Government Employee,484438,Yes,Yes
U00073,Rahul Iyer,user73@example.com,9417258047,2839-6373-3427,45,Male,General,Andhra Pradesh,Farmer,548081,Yes,Yes
U00074,Anita Patel,user74@example.com,9682277111,5335-3985-2640,50,Male,OBC,Kerala,Farmer,285869,Yes,No
U00075,Rahul Rao,user75@example.com,9200715639,7643-6015-9772,52,Female,ST,Telangana,Farmer,470311,Yes,Yes
U00076,Rahul Rao,user76@example.com,9261341707,5475-1295-3936,55,Female,OBC,Andhra Pradesh,Senior Citizen,89201,No,No
U00077,Lakshmi Rao,user77@example.com,9938497524,8273-9732-4169,29,Female,ST,Tamil Nadu,Farmer,440707,No,Yes
U00078,Lakshmi Singh,user78@example.com,9303407085,7821-1584-7977,18,Male,SC,Tamil Nadu,Student,530085,Yes,Yes
U00079,Vijay Sharma,user79@example.com,9877464391,2183-7993-8827,79,Female,OBC,Karnataka,Private Employee,502410,No,Yes
U00080,Vijay Iyer,user80@example.com,9972468531,3712-4371-6933,54,Female,ST,Karnataka,Senior Citizen,325047,Yes,Yes
U00081,Arun Rao,user81@example.com,9440124497,7124-3009-5659,49,Female,ST,Andhra Pradesh,Farmer,53568,No,No
U00082,Anita Patel,user82@example.com,9706964302,4241-3730-8019,28,Male,General,Andhra Pradesh,Unemployed,91440,Yes,No
U00083,Vijay Rao,user83@example.com,9690328358,6136-1002-1667,35,Male,SC,Kerala,Unemployed,175963,No,Yes
U00084,Arun Das,user84@example.com,9105743453,1149-1212-6788,35,Female,ST,Telangana,Private Employee,71872,Yes,Yes
U00085,Karthik Kumar,user85@example.com,9575745505,2808-9881-6660,79,Female,General,Karnataka,Farmer,208690,Yes,No
U00086,Vijay Singh,user86@example.com,9921785586,7189-2304-4141,78,Female,ST,Telangana,Senior Citizen,299138,Yes,Yes
U00087,Priya Kumar,user87@example.com,9732910432,7908-6506-4091,76,Female,OBC,Kerala,Unemployed,514202,No,No
U00088,Lakshmi Das,user88@example.com,9421193630,2759-5675-2427,77,Male,ST,Kerala,Unemployed,534739,Yes,Yes
U00089,Rahul Singh,user89@example.com,9702694882,6327-8326-8435,30,Male,SC,Maharashtra,Farmer,53440,No,Yes
U00090,Vijay Iyer,user90@example.com,9381857850,2101-9610-5128,61,Male,ST,Karnataka,Senior Citizen,578121,Yes,No
U00091,Priya Patel,user91@example.com,9628512355,2742-6566-8986,26,Female,OBC,Karnataka,Student,244377,No,No
U00092,Suresh Patel,user92@example.com,9955596433,6762-2819-9607,52,Female,SC,Karnataka,Student,347700,Yes,No
U00093,Ravi Patel,user93@example.com,9901378219,5996-4777-4617,54,Female,General,Kerala,Senior Citizen,278973,Yes,No
U00094,Karthik Rao,user94@example.com,9926483854,3938-2531-2071,64,Male,SC,Andhra Pradesh,Unemployed,576428,No,Yes
U00095,Vijay Sharma,user95@example.com,9917565705,5212-1029-7637,62,Male,ST,Maharashtra,Senior Citizen,223671,Yes,No
U00096,Karthik Rao,user96@example.com,9712935646,1912-6423-4471,51,Male,SC,Maharashtra,Student,574757,Yes,No
U00097,Lakshmi Patel,user97@example.com,9295353527,3156-7900-4125,27,Male,OBC,Kerala,Unemployed,207238,No,No
U00098,Deepa Sharma,user98@example.com,9867588050,8053-7378-3892,23,Male,OBC,Karnataka,Government Employee,336258,No,Yes
U00099,Anita Kumar,user99@example.com,9985288980,2053-1473-5405,35,Female,SC,Andhra Pradesh,Farmer,422718,Yes,Yes
U00100,Suresh Patel,user100@example.com,9122189612,8474-8250-6926,36,Male,General,Telangana,Unemployed,544030,No,Yes
U00101,Anita Rao,user101@example.com,9756411603,4914-3366-7155,29,Male,OBC,Telangana,Senior Citizen,332422,Yes,No
U00102,Arun Kumar,user102@example.com,9934634504,2473-7211-4974,47,Female,General,Telangana,Student,441039,No,Yes
U00103,Priya Kumar,user103@example.com,9167921041,9127-6075-1461,73,Female,OBC,Andhra Pradesh,Student,345278,No,Yes
U00104,Deepa Patel,user104@example.com,9486712164,2989-8236-4494,43,Female,ST,Telangana,Senior Citizen,306791,Yes,No
U00105,Vijay Sharma,user105@example.com,9437053445,9211-5660-8917,70,Male,General,Telangana,Student,599187,No,Yes
U00106,Lakshmi Sharma,user106@example.com,9682291722,6077-3465-1320,75,Male,General,Tamil Nadu,Senior Citizen,104550,No,Yes
U00107,Anita Patel,user107@example.com,9521837260,4073-4606-2788,33,Female,OBC,Maharashtra,Government Employee,421792,No,Yes
U00108,Rahul Nair,user108@example.com,9989269479,7198-6079-1980,71,Male,OBC,Tamil Nadu,Senior Citizen,167523,Yes,Yes
U00109,Priya Kumar,user109@example.com,9670916554,3721-7398-2631,46,Male,SC,Telangana,Government Employee,531377,Yes,Yes
U00110,Priya Iyer,user110@example.com,9219714418,9167-2341-5473,28,Male,OBC,Andhra Pradesh,Private Employee,593487,No,No
U00111,Rahul Iyer,user111@example.com,9886982832,2612-8560-9815,41,Male,ST,Andhra Pradesh,Senior Citizen,178958,Yes,No
U00112,Suresh Patel,user112@example.com,9265672300,2056-5239-7567,28,Male,General,Karnataka,Government Employee,325148,No,Yes
U00113,Priya Sharma,user113@example.com,9750863818,1655-2868-2971,60,Female,OBC,Karnataka,Student,531427,Yes,Yes
U00114,Karthik Singh,user114@example.com,9315718524,9053-7206-5455,58,Female,General,Andhra Pradesh,Senior Citizen,556358,Yes,Yes
U00115,Anita Das,user115@example.com,9638183199,5952-7197-6578,71,Male,ST,Maharashtra,Private Employee,580870,Yes,Yes
U00116,Vijay Sharma,user116@example.com,9123255532,4462-1048-3777,56,Male,ST,Maharashtra,Farmer,167386,Yes,Yes
U00117,Arun Das,user117@example.com,9565390131,1234-1026-6125,60,Male,ST,Maharashtra,Senior Citizen,134301,No,No
U00118,Karthik Sharma,user118@example.com,9322261447,5807-5338-8975,63,Female,General,Andhra Pradesh,Student,168578,Yes,No
U00119,Lakshmi Singh,user119@example.com,9468687043,4727-7758-4717,42,Female,OBC,Maharashtra,Private Employee,391378,No,No
U00120,Vijay Patel,user120@example.com,9210729209,6915-2960-4033,48,Male,OBC,Andhra Pradesh,Government Employee,379660,No,Yes
U00121,Anita Iyer,user121@example.com,9938756196,1296-1359-3999,31,Male,ST,Andhra Pradesh,Private Employee,348233,Yes,No
U00122,Vijay Iyer,user122@example.com,9405520162,8709-9716-3126,24,Male,SC,Andhra Pradesh,Senior Citizen,446328,No,No
U00123,Suresh Sharma,user123@example.com,9648796042,3707-6462-3351,36,Male,General,Tamil Nadu,Farmer,198760,No,No
U00124,Vijay Iyer,user124@example.com,9345907346,8152-5422-1479,32,Male,ST,Maharashtra,Senior Citizen,112859,Yes,No
U00125,Arun Das,user125@example.com,9595273723,3770-7685-2149,45,Female,SC,Andhra Pradesh,Government Employee,564319,No,No
U00126,Arun Iyer,user126@example.com,9135258709,2913-7744-9163,67,Female,General,Kerala,Student,508435,Yes,No
U00127,Deepa Nair,user127@example.com,9858302583,8281-2940-4335,55,Female,OBC,Telangana,Private Employee,118062,Yes,No
U00128,Suresh Sharma,user128@example.com,9206131226,8761-5875-8701,53,Female,SC,Telangana,Unemployed,441503,No,Yes
U00129,Suresh Nair,user129@example.com,9827987156,8600-5916-1736,25,Female,OBC,Maharashtra,Private Employee,249573,No,No
U00130,Priya Rao,user130@example.com,9902709087,7044-7245-7034,50,Male,ST,Kerala,Government Employee,553604,Yes,Yes
U00131,Anita Sharma,user131@example.com,9189113451,9642-6014-5307,43,Female,General,Maharashtra,Farmer,331034,Yes,Yes
U00132,Suresh Das,user132@example.com,9885410073,7604-2676-1978,26,Male,General,Kerala,Senior Citizen,238108,No,Yes
U00133,Deepa Nair,user133@example.com,9218604976,2380-2465-2509,23,Male,General,Andhra Pradesh,Unemployed,206489,Yes,Yes
U00134,Rahul Das,user134@example.com,9395238326,8060-2054-3111,52,Female,SC,Tamil Nadu,Unemployed,250058,No,No
U00135,Suresh Patel,user135@example.com,9606122527,1603-4414-1444,43,Male,General,Kerala,Senior Citizen,301263,Yes,No
U00136,Vijay Iyer,user136@example.com,9926741808,6786-1048-1259,46,Female,OBC,Telangana,Senior Citizen,441794,Yes,Yes
U00137,Priya Nair,user137@example.com,9371720348,2273-9616-5532,67,Male,OBC,Telangana,Unemployed,69481,Yes,No
U00138,Deepa Rao,user138@example.com,9239042361,9845-2615-2347,67,Male,General,Kerala,Senior Citizen,56857,Yes,Yes
U00139,Anita Das,user139@example.com,9899950031,3549-9157-5106,38,Male,SC,Karnataka,Farmer,499617,No,No
U00140,Arun Iyer,user140@example.com,9744813034,6606-7145-3253,64,Female,ST,Karnataka,Student,181444,Yes,Yes
U00141,Vijay Iyer,user141@example.com,9287492945,3981-4981-2217,31,Male,OBC,Andhra Pradesh,Government Employee,264520,Yes,No
U00142,Suresh Patel,user142@example.com,9863064939,4902-2153-6007,62,Female,SC,Maharashtra,Private Employee,106353,No,Yes
U00143,Deepa Singh,user143@example.com,9810060396,6460-2038-2549,73,Female,SC,Tamil Nadu,Student,493408,No,Yes
U00144,Vijay Das,user144@example.com,9900569401,7641-5592-2731,41,Female,General,Kerala,Unemployed,216674,No,Yes
U00145,Ravi Sharma,user145@example.com,9770941558,6574-7880-3445,42,Male,SC,Andhra Pradesh,Private Employee,482413,Yes,No
U00146,Anita Nair,user146@example.com,9171131060,7072-4016-5418,62,Male,General,Andhra Pradesh,Private Employee,212728,No,No
U00147,Suresh Rao,user147@example.com,9386567405,6679-7452-9345,71,Female,OBC,Andhra Pradesh,Farmer,263979,Yes,Yes
U00148,Anita Rao,user148@example.com,9357667193,3453-8218-6947,41,Female,OBC,Telangana,Unemployed,128835,Yes,No
U00149,Arun Kumar,user149@example.com,9707409848,7812-9133-7410,51,Male,General,Kerala,Unemployed,157848,No,Yes
U00150,Lakshmi Nair,user150@example.com,9827508341,2776-8166-2622,22,Male,SC,Tamil Nadu,Farmer,226507,No,No
U00151,Deepa Singh,user151@example.com,9195305157,5614-3940-1288,23,Male,SC,Telangana,Senior Citizen,447541,No,Yes
U00152,Suresh Sharma,user152@example.com,9683216557,4162-3638-7270,18,Male,ST,Maharashtra,Farmer,203047,No,Yes
U00153,Deepa Iyer,user153@example.com,9693164582,4898-4687-4518,48,Male,SC,Tamil Nadu,Senior Citizen,254681,No,Yes
U00154,Suresh Nair,user154@example.com,9946143729,7569-6027-5777,70,Female,ST,Telangana,Government Employee,356138,No,Yes
U00155,Priya Iyer,user155@example.com,9822788588,5980-1221-2300,39,Female,General,Telangana,Senior Citizen,243355,Yes,No
U00156,Karthik Patel,user156@example.com,9535040044,1934-2150-8237,78,Male,OBC,Maharashtra,Farmer,215156,No,No
U00157,Rahul Patel,user157@example.com,9518315920,3292-8263-8356,19,Male,General,Maharashtra,Private Employee,417687,No,Yes
U00158,Karthik Rao,user158@example.com,9422937903,2553-1786-6333,19,Male,OBC,Maharashtra,Student,523448,Yes,No
U00159,Priya Singh,user159@example.com,9753456300,9323-7994-6339,29,Male,OBC,Telangana,Student,115737,Yes,No
U00160,Lakshmi Singh,user160@example.com,9397667941,6795-1209-8497,23,Male,ST,Andhra Pradesh,Student,479548,Yes,No
U00161,Suresh Kumar,user161@example.com,9503848424,3309-3654-4310,66,Male,General,Tamil Nadu,Farmer,529142,No,Yes
U00162,Priya Kumar,user162@example.com,9258435972,5829-9553-8506,79,Male,General,Telangana,Private Employee,428010,Yes,No
U00163,Arun Singh,user163@example.com,9538544394,3183-1033-8495,20,Male,OBC,Maharashtra,Farmer,394120,Yes,Yes
U00164,Suresh Kumar,user164@example.com,9956706597,2572-1902-2826,46,Female,General,Telangana,Private Employee,537498,No,Yes
U00165,Deepa Patel,user165@example.com,9309638517,1149-6976-3917,78,Male,OBC,Andhra Pradesh,Unemployed,579182,No,No
U00166,Vijay Nair,user166@example.com,9900501326,1304-8229-3769,24,Female,OBC,Karnataka,Student,107109,Yes,No
U00167,Suresh Sharma,user167@example.com,9600286014,7971-5691-4427,59,Male,SC,Maharashtra,Senior Citizen,211587,Yes,No
U00168,Priya Rao,user168@example.com,9419127665,9661-8975-2589,19,Female,OBC,Telangana,Farmer,364746,Yes,No
U00169,Vijay Sharma,user169@example.com,9145336490,2734-7953-7393,60,Male,OBC,Maharashtra,Student,536909,No,No
U00170,Priya Singh,user170@example.com,9167714193,3316-8926-5204,43,Male,SC,Maharashtra,Private Employee,50241,No,No
U00171,Karthik Patel,user171@example.com,9998050447,7832-8983-5429,39,Male,General,Maharashtra,Student,381769,No,No
U00172,Arun Nair,user172@example.com,9333458553,1518-3827-9220,23,Male,ST,Andhra Pradesh,Farmer,258226,Yes,No
U00173,Lakshmi Sharma,user173@example.com,9233189550,6912-3393-2895,42,Female,OBC,Karnataka,Student,399703,No,Yes
U00174,Ravi Rao,user174@example.com,9348015530,7294-1463-1944,39,Male,SC,Karnataka,Student,373552,Yes,Yes
U00175,Lakshmi Rao,user175@example.com,9409771332,2625-2626-9080,71,Female,OBC,Tamil Nadu,Private Employee,422581,Yes,No
U00176,Deepa Das,user176@example.com,9740807585,8522-6670-9703,65,Male,SC,Kerala,Unemployed,303869,No,Yes
U00177,Karthik Patel,user177@example.com,9697521709,5210-7992-8943,47,Female,General,Telangana,Farmer,222918,Yes,No
U00178,Lakshmi Sharma,user178@example.com,9402167356,1428-7575-7292,49,Male,ST,Kerala,Unemployed,550399,Yes,Yes
U00179,Ravi Rao,user179@example.com,9945281989,6209-7575-3111,43,Female,OBC,Telangana,Senior Citizen,68992,Yes,No
U00180,Suresh Patel,user180@example.com,9258772033,8319-5277-3599,72,Male,ST,Karnataka,Farmer,553681,Yes,Yes
U00181,Ravi Kumar,user181@example.com,9108001679,2793-9944-2879,31,Male,ST,Maharashtra,Private Employee,449396,Yes,Yes
U00182,Anita Singh,user182@example.com,9587409054,2226-5054-4835,41,Female,General,Telangana,Government Employee,213463,No,Yes
U00183,Priya Iyer,user183@example.com,9717194782,2338-5042-7726,23,Male,SC,Kerala,Private Employee,158228,No,Yes
U00184,Deepa Patel,user184@example.com,9152085950,6314-1445-8437,46,Female,SC,Maharashtra,Unemployed,263182,No,Yes
U00185,Suresh Rao,user185@example.com,9903538468,3290-6576-3935,72,Female,SC,Karnataka,Farmer,475576,Yes,Yes
U00186,Arun Das,user186@example.com,9323066731,2307-8721-7764,37,Male,OBC,Karnataka,Private Employee,432542,Yes,No
U00187,Ravi Sharma,user187@example.com,9306941170,5009-7453-2070,64,Male,General,Tamil Nadu,Unemployed,331666,Yes,Yes
U00188,Lakshmi Iyer,user188@example.com,9864738680,4434-3354-7991,32,Male,SC,Maharashtra,Senior Citizen,404205,No,No
U00189,Lakshmi Rao,user189@example.com,9567132932,5265-5437-5796,66,Male,ST,Tamil Nadu,Government Employee,205896,No,No
U00190,Karthik Patel,user190@example.com,9415144835,8044-4348-1924,23,Male,SC,Maharashtra,Government Employee,372424,No,No
U00191,Suresh Rao,user191@example.com,9481817416,1122-9327-3278,32,Male,General,Telangana,Private Employee,136594,No,No
U00192,Karthik Sharma,user192@example.com,9926320227,8677-3652-2896,77,Male,ST,Kerala,Government Employee,546217,No,Yes
U00193,Rahul Singh,user193@example.com,9754010917,1247-8071-3872,78,Male,OBC,Karnataka,Farmer,352783,Yes,Yes
U00194,Arun Iyer,user194@example.com,9287119528,2225-6517-6117,33,Female,OBC,Andhra Pradesh,Unemployed,71617,Yes,No
U00195,Karthik Das,user195@example.com,9754689196,5312-9608-2561,71,Male,General,Tamil Nadu,Farmer,293462,Yes,No
U00196,Rahul Iyer,user196@example.com,9919881372,2019-4910-4747,19,Male,OBC,Maharashtra,Government Employee,200438,No,No
U00197,Arun Singh,user197@example.com,9632634227,9001-9069-8630,72,Male,General,Tamil Nadu,Farmer,346249,Yes,Yes
U00198,Priya Nair,user198@example.com,9624945529,9738-4784-8279,20,Female,ST,Maharashtra,Student,313239,No,No
U00199,Vijay Iyer,user199@example.com,9832677205,7837-5887-7104,42,Male,OBC,Telangana,Student,370897,No,No
U00200,Ravi Nair,user200@example.com,9962150934,2994-1685-8140,49,Female,OBC,Maharashtra,Private Employee,56070,No,No
U00201,Anita Das,user201@example.com,9203002226,7287-1862-3404,24,Male,OBC,Andhra Pradesh,Student,552971,No,Yes
U00202,Vijay Rao,user202@example.com,9250508549,7207-4741-4271,62,Male,SC,Kerala,Student,384067,No,Yes
U00203,Suresh Das,user203@example.com,9804516207,5198-4379-9075,23,Female,ST,Andhra Pradesh,Student,75104,No,Yes
U00204,Suresh Singh,user204@example.com,9963478088,8474-4986-6914,56,Male,ST,Andhra Pradesh,Private Employee,128967,Yes,No
U00205,Arun Patel,user205@example.com,9478839091,5313-3085-1103,19,Male,ST,Andhra Pradesh,Senior Citizen,152773,Yes,Yes
U00206,Karthik Nair,user206@example.com,9373699074,6646-9538-7911,50,Female,ST,Andhra Pradesh,Unemployed,109133,No,Yes
U00207,Vijay Singh,user207@example.com,9839657307,4234-7185-8982,68,Female,SC,Karnataka,Government Employee,256404,Yes,No
U00208,Priya Sharma,user208@example.com,9106706681,8773-4974-6733,21,Female,ST,Maharashtra,Farmer,255309,No,No
U00209,Rahul Sharma,user209@example.com,9660730076,1324-7974-5424,77,Male,General,Kerala,Senior Citizen,556134,No,Yes
U00210,Suresh Das,user210@example.com,9221502888,9831-9051-2400,34,Female,SC,Tamil Nadu,Student,456338,Yes,No
U00211,Vijay Nair,user211@example.com,9428268976,4887-9325-7077,45,Male,SC,Kerala,Private Employee,485945,No,No
U00212,Vijay Kumar,user212@example.com,9745561089,6367-4949-3477,51,Female,General,Tamil Nadu,Government Employee,570306,Yes,Yes
U00213,Karthik Rao,user213@example.com,9398516708,2192-2455-1640,39,Female,SC,Tamil Nadu,Unemployed,441002,Yes,No
U00214,Rahul Patel,user214@example.com,9772067471,4230-4992-6670,64,Female,OBC,Maharashtra,Farmer,586478,Yes,No
U00215,Deepa Iyer,user215@example.com,9891029542,7650-6727-2256,55,Female,ST,Telangana,Private Employee,376090,No,Yes
U00216,Karthik Sharma,user216@example.com,9260688915,8620-5961-2099,39,Female,ST,Telangana,Private Employee,425151,No,Yes
U00217,Priya Patel,user217@example.com,9133317433,6340-3098-4845,20,Female,SC,Maharashtra,Farmer,457595,No,No
U00218,Suresh Patel,user218@example.com,9862654486,5370-7528-7602,67,Male,SC,Kerala,Government Employee,550664,Yes,No
U00219,Ravi Das,user219@example.com,9927201584,5936-7912-8639,61,Female,SC,Tamil Nadu,Student,521965,Yes,No
U00220,Rahul Sharma,user220@example.com,9875418410,3440-9582-9848,80,Female,General,Telangana,Student,395073,Yes,No
U00221,Suresh Nair,user221@example.com,9360242456,7968-4819-8549,70,Male,General,Telangana,Private Employee,575086,No,No
